complaintID,complaintTitle,complaintDescription,complaintCategory,Rating
58,Delivery not attempted,No attempt was made to deliver the package to my address.,delivery,3
59,Defective items,Some of the items I received are defective and unusable.,product_quality,5
60,Incorrect information provided,I received incorrect information from customer service representatives.,customer_service,5
61,Website design issues,There are design issues and inconsistencies across different pages of the website.,website_issues,2
62,Inconsistent branding in ads,There are inconsistencies in branding across different advertising materials.,advertising,1
63,Slow checkout process,The checkout process on the platform is slow and cumbersome.,ecommerce_platform,4
64,Unspecified issue,I encountered an issue that I cannot specify in detail.,other,4
65,Double charged for a service,I noticed that I have been double charged for the same service.,billing,2
66,Damaged products received,I received damaged products in my delivery.,delivery,1
67,Wrong product specifications,The specifications mentioned for the product do not match what I received.,product_quality,3
68,Unhelpful responses,The responses from customer service were unhelpful and generic.,customer_service,3
69,Incorrect pricing on the website,The prices displayed on the website do not match the actual checkout prices.,website_issues,3
70,Advertising strategy feedback,I have feedback and suggestions for improving the advertising strategy.,advertising,3
71,User interface feedback,I have feedback on the user interface and navigation of the platform.,ecommerce_platform,2
72,Request for assistance,I need assistance with a problem but am not sure how to categorize it.,other,3
73,Incorrect tax calculation,The tax amount on my bill seems to be calculated incorrectly.,billing,2
74,Delivery package tampered,The delivery package seemed to be tampered with upon receipt.,delivery,2
75,Poor quality of products received,The products I received are of poor quality and not as described.,product_quality,3
76,Rude customer service representative,I had a negative experience with a rude customer service representative.,customer_service,4
77,Login issues,I am unable to log in to my account on the website.,website_issues,2
78,Advertising budget allocation,There were issues with how the advertising budget was allocated and managed.,advertising,3
79,Technical issues on the ecommerce platform,I encountered technical issues while using the ecommerce platform.,ecommerce_platform,4
80,Feedback on products,I have feedback and suggestions regarding the products offered.,other,5
81,Incorrect tax calculation,The tax amount on my bill seems to be calculated incorrectly.,billing,5
82,Missing items in delivery,Some items are missing from the delivery package.,delivery,2
83,Product packaging damaged,The packaging of the products was damaged upon delivery.,product_quality,1
84,Unhelpful responses,The responses from customer service were unhelpful and generic.,customer_service,4
85,Website design issues,There are design issues and inconsistencies across different pages of the website.,website_issues,3
86,Advertising budget allocation,There were issues with how the advertising budget was allocated and managed.,advertising,1
87,Product listing errors,There are errors and inconsistencies in the product listings on the platform.,ecommerce_platform,2
88,Suggestion for improvement,I have a suggestion for improving a specific aspect of the company.,other,3
89,Payment not processed,My payment for an order was not processed successfully.,billing,2
90,Incorrect delivery address,The delivery was made to the wrong address.,delivery,2
91,Product not as advertised,The product received does not match the description and photos online.,product_quality,1
92,Unhelpful responses,The responses from customer service were unhelpful and generic.,customer_service,5
93,Payment gateway errors,I encountered errors when trying to complete a payment on the website.,website_issues,3
94,Ineffective advertising campaigns,I found the advertising campaigns to be ineffective in reaching the target audience.,advertising,3
95,Missing product information,There is missing or incomplete information about products on the platform.,ecommerce_platform,4
96,Account-related issue,I have an issue related to my account or user profile.,other,4
97,Double charged for a service,I noticed that I have been double charged for the same service.,billing,2
98,Incomplete delivery,I received only part of my order in the delivery.,delivery,1
99,Defective items,Some of the items I received are defective and unusable.,product_quality,4
100,Ineffective communication,There was a lack of communication regarding the status of my complaint.,customer_service,5
101,Payment gateway errors,I encountered errors when trying to complete a payment on the website.,website_issues,2
102,Inconsistent branding in ads,There are inconsistencies in branding across different advertising materials.,advertising,5
103,Slow checkout process,The checkout process on the platform is slow and cumbersome.,ecommerce_platform,4
104,Feedback on products,I have feedback and suggestions regarding the products offered.,other,1
105,Double charged for a service,I noticed that I have been double charged for the same service.,billing,4
106,Wrong item delivered,I received a different item than what I ordered.,delivery,2
107,Product damaged in transit,The products were damaged during shipping and handling.,product_quality,1
108,Unresolved issues,My issues were not resolved despite multiple attempts to contact customer service.,customer_service,5
109,Website crashes frequently,The website crashes frequently when I try to access certain pages.,website_issues,4
110,Incorrect ad placements,The ads were placed on irrelevant platforms with low engagement.,advertising,5
111,Payment gateway problems,I experienced issues with completing payments through the platform.,ecommerce_platform,1
112,Suggestion for improvement,I have a suggestion for improving a specific aspect of the company.,other,5
113,Payment not processed,My payment for an order was not processed successfully.,billing,5
114,Incomplete delivery,I received only part of my order in the delivery.,delivery,4
115,Inconsistent product quality,The quality of products varies significantly across different orders.,product_quality,3
116,Difficulties in reaching support,I faced difficulties in reaching customer support through the provided channels.,customer_service,5
117,Incorrect pricing on the website,The prices displayed on the website do not match the actual checkout prices.,website_issues,1
118,Ad performance tracking,I would like better tracking and analysis of ad performance metrics.,advertising,3
119,Order tracking difficulties,I faced difficulties in tracking my orders through the platform.,ecommerce_platform,3
120,Feedback on products,I have feedback and suggestions regarding the products offered.,other,2
121,Late billing statement,"I received my billing statement late, causing confusion.",billing,1
122,Wrong item delivered,I received a different item than what I ordered.,delivery,2
123,Inconsistent product quality,The quality of products varies significantly across different orders.,product_quality,4
124,Difficulties in reaching support,I faced difficulties in reaching customer support through the provided channels.,customer_service,2
125,Website not mobile-friendly,The website is not optimized for mobile devices and is difficult to navigate.,website_issues,3
126,Inconsistent branding in ads,There are inconsistencies in branding across different advertising materials.,advertising,3
127,Difficulty in product search,It is difficult to find specific products using the search function on the platform.,ecommerce_platform,3
128,Complaint not listed,My complaint does not fit into any of the listed categories.,other,1
129,Late billing statement,"I received my billing statement late, causing confusion.",billing,3
130,Delivery not attempted,No attempt was made to deliver the package to my address.,delivery,4
131,Product missing components,The product is missing some essential components.,product_quality,2
132,Escalation of complaint,I had to escalate my complaint multiple times to get a response.,customer_service,2
133,Unable to place orders,I am unable to place orders on the website due to technical issues.,website_issues,1
134,Ineffective advertising campaigns,I found the advertising campaigns to be ineffective in reaching the target audience.,advertising,5
135,User interface feedback,I have feedback on the user interface and navigation of the platform.,ecommerce_platform,1
136,Account-related issue,I have an issue related to my account or user profile.,other,4
137,Double charged for a service,I noticed that I have been double charged for the same service.,billing,1
138,Late delivery of products,My order was delivered much later than the estimated delivery date.,delivery,4
139,Poor quality of products received,The products I received are of poor quality and not as described.,product_quality,2
140,Ineffective communication,There was a lack of communication regarding the status of my complaint.,customer_service,4
141,Website design issues,There are design issues and inconsistencies across different pages of the website.,website_issues,2
142,Ineffective advertising campaigns,I found the advertising campaigns to be ineffective in reaching the target audience.,advertising,2
143,Ecommerce platform downtime,The platform experiences frequent downtime and maintenance issues.,ecommerce_platform,4
144,Complaint not listed,My complaint does not fit into any of the listed categories.,other,2
145,Refund not received,I have not received my refund for a canceled service.,billing,2
146,Damaged products received,I received damaged products in my delivery.,delivery,2
147,Wrong product specifications,The specifications mentioned for the product do not match what I received.,product_quality,4
148,Long wait times on customer support,I had to wait for a long time on hold to reach customer support.,customer_service,2
149,Unable to place orders,I am unable to place orders on the website due to technical issues.,website_issues,2
150,Low click-through rates,The ads had low click-through rates and did not generate much traffic.,advertising,5
151,Missing product information,There is missing or incomplete information about products on the platform.,ecommerce_platform,3
152,Suggestion for improvement,I have a suggestion for improving a specific aspect of the company.,other,2
153,Subscription renewal issue,My subscription was renewed without my authorization.,billing,4
154,Incomplete delivery,I received only part of my order in the delivery.,delivery,1
155,Expired products,I received products that are past their expiration date.,product_quality,4
156,Lack of follow-up,There was no follow-up from customer service after my initial complaint.,customer_service,5
157,Website not mobile-friendly,The website is not optimized for mobile devices and is difficult to navigate.,website_issues,5
158,Misleading advertisements,The advertisements were misleading and did not accurately represent the products.,advertising,3
159,Technical issues on the ecommerce platform,I encountered technical issues while using the ecommerce platform.,ecommerce_platform,4
160,Unspecified issue,I encountered an issue that I cannot specify in detail.,other,3
161,Payment not processed,My payment for an order was not processed successfully.,billing,5
162,Incomplete delivery,I received only part of my order in the delivery.,delivery,1
163,Expired products,I received products that are past their expiration date.,product_quality,3
164,Unresolved issues,My issues were not resolved despite multiple attempts to contact customer service.,customer_service,1
165,Payment gateway errors,I encountered errors when trying to complete a payment on the website.,website_issues,3
166,Incorrect ad placements,The ads were placed on irrelevant platforms with low engagement.,advertising,1
167,Ecommerce platform downtime,The platform experiences frequent downtime and maintenance issues.,ecommerce_platform,4
168,Complaint not listed,My complaint does not fit into any of the listed categories.,other,2
169,Billing for a canceled service,I am still being billed for a service that I have canceled.,billing,1
170,Incomplete delivery,I received only part of my order in the delivery.,delivery,2
171,Product damaged in transit,The products were damaged during shipping and handling.,product_quality,1
172,Rude customer service representative,I had a negative experience with a rude customer service representative.,customer_service,3
173,Website design issues,There are design issues and inconsistencies across different pages of the website.,website_issues,1
174,Ineffective advertising campaigns,I found the advertising campaigns to be ineffective in reaching the target audience.,advertising,3
175,Product listing errors,There are errors and inconsistencies in the product listings on the platform.,ecommerce_platform,3
176,General feedback,I have some general feedback and suggestions for improvement.,other,5
177,Double charged for a service,I noticed that I have been double charged for the same service.,billing,4
178,Late delivery of products,My order was delivered much later than the estimated delivery date.,delivery,3
179,Wrong product specifications,The specifications mentioned for the product do not match what I received.,product_quality,1
180,Unresolved issues,My issues were not resolved despite multiple attempts to contact customer service.,customer_service,2
181,Website crashes frequently,The website crashes frequently when I try to access certain pages.,website_issues,1
182,Advertising budget allocation,There were issues with how the advertising budget was allocated and managed.,advertising,4
183,Ecommerce platform downtime,The platform experiences frequent downtime and maintenance issues.,ecommerce_platform,4
184,Unspecified issue,I encountered an issue that I cannot specify in detail.,other,2
185,Incorrect billing amount,I was charged incorrectly for a service that I did not use.,billing,4
186,Incorrect delivery address,The delivery was made to the wrong address.,delivery,2
187,Product damaged in transit,The products were damaged during shipping and handling.,product_quality,1
188,Incorrect information provided,I received incorrect information from customer service representatives.,customer_service,4
189,Website design issues,There are design issues and inconsistencies across different pages of the website.,website_issues,5
190,Inconsistent branding in ads,There are inconsistencies in branding across different advertising materials.,advertising,3
191,Product listing errors,There are errors and inconsistencies in the product listings on the platform.,ecommerce_platform,5
192,Technical support needed,I require technical support for a problem I am facing.,other,1
193,Billing for a canceled service,I am still being billed for a service that I have canceled.,billing,5
194,Delivery not attempted,No attempt was made to deliver the package to my address.,delivery,4
195,Product damaged in transit,The products were damaged during shipping and handling.,product_quality,5
196,Unresolved issues,My issues were not resolved despite multiple attempts to contact customer service.,customer_service,4
197,Slow website performance,The website is very slow and unresponsive during peak hours.,website_issues,2
198,Ad performance tracking,I would like better tracking and analysis of ad performance metrics.,advertising,5
199,Payment gateway problems,I experienced issues with completing payments through the platform.,ecommerce_platform,2
200,Feedback on products,I have feedback and suggestions regarding the products offered.,other,4
201,Incorrect tax calculation,The tax amount on my bill seems to be calculated incorrectly.,billing,2
202,Damaged products received,I received damaged products in my delivery.,delivery,4
203,Inconsistent product quality,The quality of products varies significantly across different orders.,product_quality,3
204,Incorrect information provided,I received incorrect information from customer service representatives.,customer_service,1
205,Slow website performance,The website is very slow and unresponsive during peak hours.,website_issues,3
206,Ad performance tracking,I would like better tracking and analysis of ad performance metrics.,advertising,1
207,Technical issues on the ecommerce platform,I encountered technical issues while using the ecommerce platform.,ecommerce_platform,5
208,Complaint not listed,My complaint does not fit into any of the listed categories.,other,3
209,Subscription renewal issue,My subscription was renewed without my authorization.,billing,3
210,Delivery package tampered,The delivery package seemed to be tampered with upon receipt.,delivery,2
211,Defective items,Some of the items I received are defective and unusable.,product_quality,4
212,Unhelpful responses,The responses from customer service were unhelpful and generic.,customer_service,1
213,Incorrect pricing on the website,The prices displayed on the website do not match the actual checkout prices.,website_issues,5
214,Advertising strategy feedback,I have feedback and suggestions for improving the advertising strategy.,advertising,4
215,Technical issues on the ecommerce platform,I encountered technical issues while using the ecommerce platform.,ecommerce_platform,3
216,Feedback on products,I have feedback and suggestions regarding the products offered.,other,5
217,Billing for a canceled service,I am still being billed for a service that I have canceled.,billing,1
218,Missing items in delivery,Some items are missing from the delivery package.,delivery,1
219,Product missing components,The product is missing some essential components.,product_quality,3
220,Long wait times on customer support,I had to wait for a long time on hold to reach customer support.,customer_service,4
221,Slow website performance,The website is very slow and unresponsive during peak hours.,website_issues,5
222,Ineffective advertising campaigns,I found the advertising campaigns to be ineffective in reaching the target audience.,advertising,5
223,Order tracking difficulties,I faced difficulties in tracking my orders through the platform.,ecommerce_platform,4
224,General feedback,I have some general feedback and suggestions for improvement.,other,4
225,Double charged for a service,I noticed that I have been double charged for the same service.,billing,4
226,Late delivery of products,My order was delivered much later than the estimated delivery date.,delivery,3
227,Poor quality of products received,The products I received are of poor quality and not as described.,product_quality,1
228,Escalation of complaint,I had to escalate my complaint multiple times to get a response.,customer_service,1
229,Website not mobile-friendly,The website is not optimized for mobile devices and is difficult to navigate.,website_issues,2
230,Advertising budget allocation,There were issues with how the advertising budget was allocated and managed.,advertising,1
231,Difficulty in product search,It is difficult to find specific products using the search function on the platform.,ecommerce_platform,4
232,Query about services,I have a query about the services provided by the company.,other,3
233,Subscription renewal issue,My subscription was renewed without my authorization.,billing,2
234,Delivery not attempted,No attempt was made to deliver the package to my address.,delivery,5
235,Product missing components,The product is missing some essential components.,product_quality,1
236,Difficulties in reaching support,I faced difficulties in reaching customer support through the provided channels.,customer_service,3
237,Login issues,I am unable to log in to my account on the website.,website_issues,2
238,Advertising budget allocation,There were issues with how the advertising budget was allocated and managed.,advertising,4
239,Technical issues on the ecommerce platform,I encountered technical issues while using the ecommerce platform.,ecommerce_platform,4
240,Feedback on products,I have feedback and suggestions regarding the products offered.,other,4
241,Payment not processed,My payment for an order was not processed successfully.,billing,1
242,Incomplete delivery,I received only part of my order in the delivery.,delivery,1
243,Product missing components,The product is missing some essential components.,product_quality,5
244,Incorrect information provided,I received incorrect information from customer service representatives.,customer_service,2
245,Website design issues,There are design issues and inconsistencies across different pages of the website.,website_issues,2
246,Advertising budget allocation,There were issues with how the advertising budget was allocated and managed.,advertising,4
247,Order tracking difficulties,I faced difficulties in tracking my orders through the platform.,ecommerce_platform,2
248,General feedback,I have some general feedback and suggestions for improvement.,other,2
249,Refund not received,I have not received my refund for a canceled service.,billing,1
250,Late delivery of products,My order was delivered much later than the estimated delivery date.,delivery,5
251,Product damaged in transit,The products were damaged during shipping and handling.,product_quality,5
252,Long wait times on customer support,I had to wait for a long time on hold to reach customer support.,customer_service,4
253,Payment gateway errors,I encountered errors when trying to complete a payment on the website.,website_issues,5
254,Inconsistent branding in ads,There are inconsistencies in branding across different advertising materials.,advertising,5
255,Ecommerce platform downtime,The platform experiences frequent downtime and maintenance issues.,ecommerce_platform,5
256,Complaint not listed,My complaint does not fit into any of the listed categories.,other,1
257,Payment not processed,My payment for an order was not processed successfully.,billing,2
258,Delivery not attempted,No attempt was made to deliver the package to my address.,delivery,2
259,Inconsistent product quality,The quality of products varies significantly across different orders.,product_quality,3
260,Long wait times on customer support,I had to wait for a long time on hold to reach customer support.,customer_service,4
261,Login issues,I am unable to log in to my account on the website.,website_issues,3
262,Ineffective advertising campaigns,I found the advertising campaigns to be ineffective in reaching the target audience.,advertising,4
263,User interface feedback,I have feedback on the user interface and navigation of the platform.,ecommerce_platform,5
264,Complaint not listed,My complaint does not fit into any of the listed categories.,other,1
265,Late billing statement,"I received my billing statement late, causing confusion.",billing,5
266,Incorrect delivery address,The delivery was made to the wrong address.,delivery,2
267,Defective items,Some of the items I received are defective and unusable.,product_quality,5
268,Incorrect information provided,I received incorrect information from customer service representatives.,customer_service,4
269,Slow website performance,The website is very slow and unresponsive during peak hours.,website_issues,2
270,Ad performance tracking,I would like better tracking and analysis of ad performance metrics.,advertising,3
271,Product listing errors,There are errors and inconsistencies in the product listings on the platform.,ecommerce_platform,5
272,Request for assistance,I need assistance with a problem but am not sure how to categorize it.,other,4
273,Double charged for a service,I noticed that I have been double charged for the same service.,billing,1
274,Damaged products received,I received damaged products in my delivery.,delivery,5
275,Product missing components,The product is missing some essential components.,product_quality,5
276,Ineffective communication,There was a lack of communication regarding the status of my complaint.,customer_service,1
277,Login issues,I am unable to log in to my account on the website.,website_issues,2
278,Advertising strategy feedback,I have feedback and suggestions for improving the advertising strategy.,advertising,3
279,Difficulty in product search,It is difficult to find specific products using the search function on the platform.,ecommerce_platform,3
280,Technical support needed,I require technical support for a problem I am facing.,other,4
281,Incorrect billing amount,I was charged incorrectly for a service that I did not use.,billing,3
282,Incomplete delivery,I received only part of my order in the delivery.,delivery,3
283,Inconsistent product quality,The quality of products varies significantly across different orders.,product_quality,3
284,Ineffective communication,There was a lack of communication regarding the status of my complaint.,customer_service,5
285,Unable to place orders,I am unable to place orders on the website due to technical issues.,website_issues,1
286,Ad performance tracking,I would like better tracking and analysis of ad performance metrics.,advertising,2
287,Payment gateway problems,I experienced issues with completing payments through the platform.,ecommerce_platform,2
288,Request for assistance,I need assistance with a problem but am not sure how to categorize it.,other,2
289,Double charged for a service,I noticed that I have been double charged for the same service.,billing,5
290,Delayed shipping notification,I did not receive a notification about the delay in shipping.,delivery,4
291,Defective items,Some of the items I received are defective and unusable.,product_quality,5
292,Unresolved issues,My issues were not resolved despite multiple attempts to contact customer service.,customer_service,5
293,Incorrect pricing on the website,The prices displayed on the website do not match the actual checkout prices.,website_issues,1
294,Incorrect ad placements,The ads were placed on irrelevant platforms with low engagement.,advertising,3
295,Product listing errors,There are errors and inconsistencies in the product listings on the platform.,ecommerce_platform,1
296,Complaint not listed,My complaint does not fit into any of the listed categories.,other,1
297,Refund not received,I have not received my refund for a canceled service.,billing,4
298,Late delivery of products,My order was delivered much later than the estimated delivery date.,delivery,2
299,Wrong product specifications,The specifications mentioned for the product do not match what I received.,product_quality,2
300,Lack of follow-up,There was no follow-up from customer service after my initial complaint.,customer_service,2
301,Website not mobile-friendly,The website is not optimized for mobile devices and is difficult to navigate.,website_issues,4
302,Advertising budget allocation,There were issues with how the advertising budget was allocated and managed.,advertising,1
303,Payment gateway problems,I experienced issues with completing payments through the platform.,ecommerce_platform,1
304,Account-related issue,I have an issue related to my account or user profile.,other,1
305,Refund not received,I have not received my refund for a canceled service.,billing,2
306,Delivery not attempted,No attempt was made to deliver the package to my address.,delivery,3
307,Expired products,I received products that are past their expiration date.,product_quality,3
308,Lack of follow-up,There was no follow-up from customer service after my initial complaint.,customer_service,3
309,Unable to place orders,I am unable to place orders on the website due to technical issues.,website_issues,3
310,Advertising budget allocation,There were issues with how the advertising budget was allocated and managed.,advertising,4
311,Ecommerce platform downtime,The platform experiences frequent downtime and maintenance issues.,ecommerce_platform,1
312,Complaint not listed,My complaint does not fit into any of the listed categories.,other,5
313,Payment not processed,My payment for an order was not processed successfully.,billing,3
314,Damaged products received,I received damaged products in my delivery.,delivery,4
315,Poor quality of products received,The products I received are of poor quality and not as described.,product_quality,4
316,Ineffective communication,There was a lack of communication regarding the status of my complaint.,customer_service,2
317,Slow website performance,The website is very slow and unresponsive during peak hours.,website_issues,2
318,Ad performance tracking,I would like better tracking and analysis of ad performance metrics.,advertising,1
319,User interface feedback,I have feedback on the user interface and navigation of the platform.,ecommerce_platform,5
320,Query about services,I have a query about the services provided by the company.,other,3
321,Billing discrepancy,There is a discrepancy in the billing amount on my invoice.,billing,5
322,Missing items in delivery,Some items are missing from the delivery package.,delivery,1
323,Inconsistent product quality,The quality of products varies significantly across different orders.,product_quality,4
324,Unresolved issues,My issues were not resolved despite multiple attempts to contact customer service.,customer_service,4
325,Login issues,I am unable to log in to my account on the website.,website_issues,3
326,Ineffective advertising campaigns,I found the advertising campaigns to be ineffective in reaching the target audience.,advertising,1
327,Slow checkout process,The checkout process on the platform is slow and cumbersome.,ecommerce_platform,3
328,Request for assistance,I need assistance with a problem but am not sure how to categorize it.,other,3
329,Refund not received,I have not received my refund for a canceled service.,billing,1
330,Incomplete delivery,I received only part of my order in the delivery.,delivery,1
331,Inconsistent product quality,The quality of products varies significantly across different orders.,product_quality,1
332,Escalation of complaint,I had to escalate my complaint multiple times to get a response.,customer_service,3
333,Unable to place orders,I am unable to place orders on the website due to technical issues.,website_issues,2
334,Advertising ROI concerns,I have concerns about the return on investment from advertising efforts.,advertising,3
335,Product listing errors,There are errors and inconsistencies in the product listings on the platform.,ecommerce_platform,5
336,Request for assistance,I need assistance with a problem but am not sure how to categorize it.,other,1
337,Billing for a canceled service,I am still being billed for a service that I have canceled.,billing,3
338,Wrong item delivered,I received a different item than what I ordered.,delivery,2
339,Expired products,I received products that are past their expiration date.,product_quality,2
340,Difficulties in reaching support,I faced difficulties in reaching customer support through the provided channels.,customer_service,5
341,Website design issues,There are design issues and inconsistencies across different pages of the website.,website_issues,1
342,Ad performance tracking,I would like better tracking and analysis of ad performance metrics.,advertising,2
343,Payment gateway problems,I experienced issues with completing payments through the platform.,ecommerce_platform,3
344,Technical support needed,I require technical support for a problem I am facing.,other,3
345,Billing for a canceled service,I am still being billed for a service that I have canceled.,billing,1
346,Damaged products received,I received damaged products in my delivery.,delivery,2
347,Wrong product specifications,The specifications mentioned for the product do not match what I received.,product_quality,3
348,Long wait times on customer support,I had to wait for a long time on hold to reach customer support.,customer_service,1
349,Payment gateway errors,I encountered errors when trying to complete a payment on the website.,website_issues,3
350,Advertising strategy feedback,I have feedback and suggestions for improving the advertising strategy.,advertising,1
351,Difficulty in product search,It is difficult to find specific products using the search function on the platform.,ecommerce_platform,5
352,Feedback on products,I have feedback and suggestions regarding the products offered.,other,4
353,Billing for a canceled service,I am still being billed for a service that I have canceled.,billing,3
354,Delivery not attempted,No attempt was made to deliver the package to my address.,delivery,1
355,Product packaging damaged,The packaging of the products was damaged upon delivery.,product_quality,3
356,Ineffective communication,There was a lack of communication regarding the status of my complaint.,customer_service,3
357,Payment gateway errors,I encountered errors when trying to complete a payment on the website.,website_issues,1
358,Inconsistent branding in ads,There are inconsistencies in branding across different advertising materials.,advertising,3
359,Ecommerce platform downtime,The platform experiences frequent downtime and maintenance issues.,ecommerce_platform,4
360,Complaint not listed,My complaint does not fit into any of the listed categories.,other,5
361,Billing for a canceled service,I am still being billed for a service that I have canceled.,billing,4
362,Wrong item delivered,I received a different item than what I ordered.,delivery,3
363,Product packaging damaged,The packaging of the products was damaged upon delivery.,product_quality,1
364,Ineffective communication,There was a lack of communication regarding the status of my complaint.,customer_service,3
365,Website crashes frequently,The website crashes frequently when I try to access certain pages.,website_issues,4
366,Misleading advertisements,The advertisements were misleading and did not accurately represent the products.,advertising,3
367,Slow checkout process,The checkout process on the platform is slow and cumbersome.,ecommerce_platform,4
368,Unspecified issue,I encountered an issue that I cannot specify in detail.,other,2
369,Incorrect tax calculation,The tax amount on my bill seems to be calculated incorrectly.,billing,4
370,Delayed shipping notification,I did not receive a notification about the delay in shipping.,delivery,1
371,Product damaged in transit,The products were damaged during shipping and handling.,product_quality,1
372,Unresolved issues,My issues were not resolved despite multiple attempts to contact customer service.,customer_service,4
373,Incorrect pricing on the website,The prices displayed on the website do not match the actual checkout prices.,website_issues,3
374,Ad performance tracking,I would like better tracking and analysis of ad performance metrics.,advertising,4
375,Order tracking difficulties,I faced difficulties in tracking my orders through the platform.,ecommerce_platform,3
376,Query about services,I have a query about the services provided by the company.,other,2
377,Refund not received,I have not received my refund for a canceled service.,billing,3
378,Late delivery of products,My order was delivered much later than the estimated delivery date.,delivery,4
379,Expired products,I received products that are past their expiration date.,product_quality,3
380,Difficulties in reaching support,I faced difficulties in reaching customer support through the provided channels.,customer_service,1
381,Website crashes frequently,The website crashes frequently when I try to access certain pages.,website_issues,4
382,Advertising strategy feedback,I have feedback and suggestions for improving the advertising strategy.,advertising,1
383,Technical issues on the ecommerce platform,I encountered technical issues while using the ecommerce platform.,ecommerce_platform,5
384,Complaint not listed,My complaint does not fit into any of the listed categories.,other,1
385,Payment not processed,My payment for an order was not processed successfully.,billing,1
386,Damaged products received,I received damaged products in my delivery.,delivery,5
387,Expired products,I received products that are past their expiration date.,product_quality,2
388,Lack of follow-up,There was no follow-up from customer service after my initial complaint.,customer_service,4
389,Slow website performance,The website is very slow and unresponsive during peak hours.,website_issues,1
